Date,Weighted_Price
2013-03-12,44.30228900832535
2013-03-13,46.22939937123757
2013-03-14,47.360825638957245
2013-03-15,47.1104325997193
2013-03-16,46.783165978187135
2013-03-17,46.98465675645026
2013-03-18,47.785705474129905
2013-03-19,55.086432220180086
2013-03-20,62.479217390610756
2013-03-21,70.28545457149858
2013-03-22,71.42059562797587
2013-03-23,63.72789729597444
2013-03-24,68.61874579028718
2013-03-25,73.55523280107386
2013-03-26,79.05730191491449
2013-03-27,86.75795428189618
2013-03-28,92.10883624498751
2013-03-29,90.29018257125676
2013-03-30,92.4718041535955
2013-03-31,94.12284450212204
2013-04-01,100.41489521803604
2013-04-02,109.46948638279584
2013-04-03,130.95468728784297
2013-04-04,132.97382748491435
2013-04-05,139.4682390205207
2013-04-06,142.08116265287646
2013-04-07,153.41957193950208
2013-04-08,182.5603285815173
2013-04-09,211.4154838651215
2013-04-10,207.06479544402902
2013-04-11,124.66616755192247
2013-04-12,77.31374264678566
2013-04-13,103.40068939323162
2013-04-14,95.97060673523023
2013-04-15,90.61443563250391
2013-04-16,65.47475030134937
2013-04-17,81.96189438833876
2013-04-18,94.52608170189919
2013-04-19,117.07468137183493
2013-04-20,121.64526324352578
2013-04-21,120.79445674237172
2013-04-22,120.83071848192554
2013-04-23,129.5520713080648
2013-04-24,146.41457726168832
2013-04-25,150.3865667212724
2013-04-26,134.6695915137714
2013-04-27,134.07831303084842
2013-04-28,133.35673431413707
2013-04-29,140.57227312791665
2013-04-30,141.6140156888617
2013-05-01,128.5220747907083
2013-05-02,112.2659783435174
2013-05-03,94.05258676361609
2013-05-04,104.43963797527837
2013-05-05,114.3171166459058
2013-05-06,118.76483723966017
2013-05-07,107.79431558681819
2013-05-08,113.0822922575872
2013-05-09,111.63394641292938
2013-05-10,116.10643065768218
2013-05-11,116.03949981397282
2013-05-12,115.43591871809569
2013-05-13,116.20090849942227
2013-05-14,115.75196368482104
2013-05-15,109.67778061777948
2013-05-16,110.87186680798591
2013-05-17,114.8351040359014
2013-05-18,117.636645299865
2013-05-19,117.90182232589947
2013-05-20,117.63770055219217
2013-05-21,117.83379648300135
2013-05-22,118.51627049147518
2013-05-23,120.53929507505335
2013-05-24,125.84546326465441
2013-05-25,128.6924335438467
2013-05-26,129.41892782597463
2013-05-27,129.35692412239447
2013-05-28,125.9250466159829
2013-05-29,127.60702485743336
2013-05-30,129.32892492699534
2013-05-31,127.79911624813869
2013-06-01,128.27839926326212
2013-06-02,123.30825862730735
2013-06-03,120.16227763873488
2013-06-04,121.66771123094088
2013-06-05,120.72273427795082
2013-06-06,120.14550914702207
2013-06-07,113.95926097308049
2013-06-08,109.60781935493092
2013-06-09,99.39906288199704
2013-06-10,102.5716856784497
2013-06-11,106.19270826273141
2013-06-12,107.92812368860491
2013-06-13,106.07273171946092
2013-06-14,100.32195388306106
2013-06-15,99.87629968953362
2013-06-16,99.94909300423663
2013-06-17,100.15254121430281
2013-06-18,104.49272681770701
2013-06-19,105.54884425649573
2013-06-20,106.02030069375682
2013-06-21,101.7286246417178
2013-06-22,100.53165684772982
2013-06-23,99.9748539848531
2013-06-24,98.8786183904145
2013-06-25,99.49129448903368
2013-06-26,98.57066376707881
2013-06-27,97.93029984684148
2013-06-28,91.66111771510029
2013-06-29,89.57389925564114
2013-06-30,89.09129346812081
2013-07-01,86.75621381022738
2013-07-02,86.14394169119318
2013-07-03,84.35316147573886
2013-07-04,77.83562061774792
2013-07-05,72.03183038575713
2013-07-06,67.05685500785279
2013-07-07,67.8386820272006
2013-07-08,74.06340633985741
2013-07-09,73.70773654826039
2013-07-10,78.22420071133686
2013-07-11,86.08437131025498
2013-07-12,92.33787231092505
2013-07-13,89.40807882282553
2013-07-14,91.80153313831987
2013-07-15,92.48427979952781
2013-07-16,92.60486596352631
2013-07-17,91.23002406369726
2013-07-18,83.81155978138476
2013-07-19,84.8190572406507
2013-07-20,86.23475608767369
2013-07-21,85.25760294258359
2013-07-22,86.08180219719323
2013-07-23,86.57438485580613
2013-07-24,87.4857659681704
2013-07-25,89.21000675442517
2013-07-26,90.24781596074106
2013-07-27,88.87065857193076
2013-07-28,89.90837184750897
2013-07-29,92.70776613796471
2013-07-30,94.29181251152312
2013-07-31,98.92372688636866
2013-08-01,97.29957491482332
2013-08-02,96.88013644269839
2013-08-03,95.90904401710601
2013-08-04,96.21513222015292
2013-08-05,97.60467049409863
2013-08-06,98.06236088822943
2013-08-07,97.61684360148881
2013-08-08,95.07566515818318
2013-08-09,93.46015313725948
2013-08-10,93.11680553973237
2013-08-11,93.84313539742858
2013-08-12,94.15226139953114
2013-08-13,96.06075345608934
2013-08-14,99.03029734865711
2013-08-15,98.72262958023977
2013-08-16,97.93717275693297
2013-08-17,98.46699908428963
2013-08-18,99.05508967608168
2013-08-19,102.05045429731459
2013-08-20,103.84345431669978
2013-08-21,107.75128841318224
2013-08-22,111.51344249752033
2013-08-23,108.05756800769922
2013-08-24,108.52419922667897
2013-08-25,111.17266081321728
2013-08-26,112.19146448189223
2013-08-27,116.96219459835655
2013-08-28,118.45608982027778
2013-08-29,118.63982908197437
2013-08-30,121.430600102
2013-08-31,128.46907027875423
2013-09-01,130.2012206786786
2013-09-02,130.66019610683978
2013-09-03,129.6792918305478
2013-09-04,126.96542746583243
2013-09-05,121.60187160282793
2013-09-06,121.25625232655105
2013-09-07,118.76252368805008
2013-09-08,118.76511000104746
2013-09-09,119.52759962679829
2013-09-10,122.72692690145709
2013-09-11,123.08489379398415
2013-09-12,126.8719753915122
2013-09-13,127.63822319944686
2013-09-14,126.14854136265932
2013-09-15,124.7672546275077
2013-09-16,125.89887921915866
2013-09-17,126.77719349076153
